"HOME";"All points";"Two points";"Thre points";"Free throws";"Attack jumps";"Defending jumps";"Assissts";"Stolen balls";"Lost balls";"Blockages fouls";"Personal fouls";"AWAY";"All points";"Two points";"Thre points";"Free throws";"Attack jumps";"Defending jumps";"Assissts";"Stolen balls";"Lost balls";"Blockages fouls";"Personal fouls";"WINNER"
"LAL";0;0;0;0;0;0;0;0;0;0;0;"HOU";0;0;0;0;0;0;0;0;0;0;0;0
"SAS";0;0;0;0;0;0;0;0;0;0;0;"DAL";0;0;0;0;0;0;0;0;0;0;0;1
"BOS";0;0;0;0;0;0;0;0;0;0;0;"BKN";0;0;0;0;0;0;0;0;0;0;0;1
"CHA";0;0;0;0;0;0;0;0;0;0;0;"MIL";0;0;0;0;0;0;0;0;0;0;0;1
"DEN";0;0;0;0;0;0;0;0;0;0;0;"DET";0;0;0;0;0;0;0;0;0;0;0;1
"IND";0;0;0;0;0;0;0;0;0;0;0;"PHI";0;0;0;0;0;0;0;0;0;0;0;1
"MEM";0;0;0;0;0;0;0;0;0;0;0;"MIN";0;0;0;0;0;0;0;0;0;0;0;1
"NYK";0;0;0;0;0;0;0;0;0;0;0;"CHI";0;0;0;0;0;0;0;0;0;0;0;0
"POR";0;0;0;0;0;0;0;0;0;0;0;"OKC";0;0;0;0;0;0;0;0;0;0;0;1
"SAC";0;0;0;0;0;0;0;0;0;0;0;"GSW";0;0;0;0;0;0;0;0;0;0;0;0
"TOR";0;0;0;0;0;0;0;0;0;0;0;"ATL";0;0;0;0;0;0;0;0;0;0;0;1
"UTA";0;0;0;0;0;0;0;0;0;0;0;"HOU";106;0,475909090909091;0,466155810983397;0,697142857142857;11;30;20;7;15;4;26;0
"CLE";0;0;0;0;0;0;0;0;0;0;0;"NYK";87;0,47781217750258;0,338235294117647;0,857843137254902;11;25;24;9;13;3;24;0
"DAL";110;0,567845394736842;0,380952380952381;0,812356979405034;11;27;21;8;9;4;17;"UTA";97;0,506944444444444;0,283333333333333;0,856209150326797;14;23;19;7;14;3;18;1
"MIN";99;0,472972972972973;0,45;0,708850931677019;14;30;19;8;17;3;21;"DET";85;0,436945812807882;0,282051282051282;0,597165991902834;11;34;17;3;13;5;25;1
"ORL";91;0,463710646479212;0,381818181818182;0,755952380952381;9;35;18;4;18;5;24;"WAS";100;0,506663113006397;0,427125506072874;0,738782051282051;6;30;21;8;13;1;22;0
"CHI";106;0,545798773891093;0,355510752688172;0,799019607843137;10;34;23;6;17;9;23;"CLE";102;0,463483146067416;0,2875;0,864393939393939;15;27;20;6;14;3;16;0
"PHX";106;0,529130434782609;0,305555555555556;0,784188034188034;10;34;19;3;10;4;23;"SAS";95;0,500224618149147;0,41;0,775815217391304;7;34;21;4;16;3;22;1
"ATL";102;0,518472906403941;0,470454545454545;0,64349376114082;6;33;26;8;14;7;22;"IND";94;0,471345141830317;0,358650793650794;0,782738095238095;12;34;22;5;17;7;21;1
"CHA";88;0,408405172413793;0,285714285714286;0,705938697318008;10;37;22;9;15;6;18;"MEM";91;0,475189271036124;0,302604997341839;0,75332383665717;10;29;19;9;14;2;21;0
"DET";86;0,466438451476441;0,207642031171443;0,636205899363794;10;33;18;3;11;4;22;"BKN";103;0,549180327868853;0,318825910931174;0,807692307692308;10;33;19;4;14;5;22;0
"GSW";111;0,572916666666667;0,35024154589372;0,787946428571429;9;34;25;11;21;6;29;"LAL";101;0,469722441033129;0,310851648351648;0,767289377289377;12;25;20;7;15;2;28;1
