"HOME";"All points";"All points for last 5 games";"Two points";"Two points for last 5 games";"Thre points";"Thre points for last 5 games";"Free throws";"Free points for last 5 games";"Attack jumps";"Attack jumps for last 5 games";"Defending jumps";"Defending jumps for last 5 games";"Assissts";"Assissts for last 5 games";"Stolen balls";"Stolen balls for last 5 games";"Lost balls";"Lost balls for last 5 games";"Blockages fouls";"Blockages fouls for last 5 games";"Personal fouls";"Personal fouls for last 5 games";"AWAY";"All points";"All points for last 5 games";"Two points";"Two points for last 5 games";"Thre points";"Thre points for last 5 games";"Free throws";"Free points for last 5 games";"Attack jumps";"Attack jumps for last 5 games";"Defending jumps";"Defending jumps for last 5 games";"Assissts";"Assissts for last 5 games";"Stolen balls";"Stolen balls for last 5 games";"Lost balls";"Lost balls for last 5 games";"Blockages fouls";"Blockages fouls for last 5 games";"Personal fouls";"Personal fouls for last 5 games";"WINNER"
"LAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"HOU";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"NOP";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"ORL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"SAS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"IND";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"PHI";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"PHX";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"LAL";94;0;0,407186817550129;0;0,303846153846154;0;0,817435897435897;0;11;0;25;0;18;0;8;0;12;0;3;0;25;0;1
"SAC";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"GSW";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"UTA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"HOU";106;0;0,475909090909091;0;0,466155810983397;0;0,697142857142857;0;11;0;30;0;20;0;7;0;15;0;4;0;26;0;0
"CHA";88;0;0,408405172413793;0;0,285714285714286;0;0,705938697318008;0;10;0;37;0;22;0;9;0;15;0;6;0;18;0;"MEM";91;0;0,475189271036124;0;0,302604997341839;0;0,75332383665717;0;10;0;29;0;19;0;9;0;14;0;2;0;21;0;0
"MIN";101;0;0,470566456867827;0;0,411111111111111;0;0,741384492085754;0;14;0;30;0;21;0;8;0;15;0;3;0;23;0;"CHI";106;0;0,537778892738989;0;0,367441951067477;0;0,791013071895425;0;8;0;33;0;20;0;5;0;16;0;8;0;23;0;0
"LAC";101;0;0,491228070175439;0;0,295764092538286;0;0,797720057720058;0;10;0;24;0;21;0;8;0;11;0;4;0;26;0;"SAC";92;0;0,435672656629432;0;0,288888888888889;0;0,815584415584416;0;12;0;35;0;16;0;7;0;18;0;5;0;24;0;0
"MIA";109;0;0,540926850294073;0;0,398809523809524;0;0,765354165022752;0;10;0;30;0;25;0;10;0;15;0;3;0;22;0;"TOR";106;0;0,481558819764465;0;0,249389499389499;0;0,741744366744367;0;13;0;28;0;16;0;8;0;8;0;6;0;23;0;1
"BKN";107;0;0,546448087431694;0;0,371970897142522;0;0,836707152496626;0;10;0;33;0;21;0;6;0;12;0;4;0;21;0;"OKC";91;0;0,475092351151673;0;0,264635093167702;0;0,739986689464868;0;10;0;33;0;20;0;6;0;16;0;4;0;23;0;1
"BKN";103;0;0,524590163934426;0;0,374216268094987;0;0,789295070254823;0;9;0;33;0;20;0;6;0;13;0;4;0;21;0;"MIN";100;0;0,455664568678267;0;0,411274509803922;0;0,749220187246134;0;13;0;32;0;21;0;8;0;14;0;3;0;23;0;0
"PHI";90;90;0,476109184932714;0,476109184932714;0,325490683229814;0,325490683229814;0,638143305969393;0,638143305969393;8;8;29;29;21;21;10;10;17;17;7;7;21;21;"ORL";91;91;0,479492442281643;0,479492442281643;0,338441558441558;0,338441558441558;0,683333333333333;0,683333333333333;11;11;34;34;19;19;5;5;17;17;5;5;25;25;0
"SAC";103;103;0,471721054295119;0,471721054295119;0,297777777777778;0,297777777777778;0,815563415308096;0,815563415308096;12;12;34;34;18;18;7;7;16;16;4;4;26;26;"DEN";98;0;0,469938755576674;0;0,262248168498169;0;0,782282502443793;0;11;0;29;0;20;0;4;0;15;0;6;0;29;0;1
"TOR";105;104;0,477651677973539;0,482557013568247;0,308803987231407;0,309026323139226;0,778999742271131;0,771163327088993;11;10;28;27;18;16;7;6;9;9;4;3;23;23;"WAS";97;98;0,48334434847961;0,472870361032674;0,36267453450116;0,37205154666455;0,73428487591102;0,739475184426557;8;9;31;32;23;23;9;10;13;13;3;4;23;24;1
"HOU";101;100;0,483825215659542;0,486991665559722;0,40339515737951;0,378290895937955;0,726806843949701;0,738672438672439;11;11;32;33;20;20;9;10;18;19;4;5;22;21;"GSW";107;107;0,541921489755005;0,541921489755005;0,387540227380044;0,387540227380044;0,806495098039216;0,806495098039216;9;9;35;35;24;24;10;10;21;21;6;6;23;23;0
"DAL";105;103;0,528860501170006;0,513266543743272;0,352091556262685;0,340547226386807;0,795591073958187;0,788884711779449;10;10;28;28;21;21;7;7;10;11;5;5;18;19;"MIA";102;98;0,526434137878639;0,525495161114521;0,368962559179951;0,352261868566216;0,744928096968226;0,731055257794497;9;8;29;29;23;22;8;6;13;13;2;3;22;23;0
"DET";92;94;0,442668630500125;0,444995460048426;0,306719566310359;0,321909633418585;0,644542343621291;0,657661338661339;13;14;32;32;18;19;4;4;11;11;4;3;21;20;"UTA";99;100;0,520502542839433;0,525925782197429;0,323004244432816;0,338872608872609;0,79982192238937;0,7772670312144;11;10;30;33;20;21;6;5;14;14;4;4;19;19;0
"CHI";104;102;0,504667685997536;0,484800961952665;0,396992120539193;0,414722222222222;0,762357026143791;0,74516339869281;9;9;33;32;22;24;5;5;13;12;6;5;20;18;"DET";91;94;0,437871813155951;0,438242213295179;0,334331056837451;0,355242966751918;0,643893437389678;0,662584415584416;12;13;33;33;18;18;4;5;12;11;4;4;21;19;1
"MEM";94;97;0,460566540013953;0,45179290140065;0,350107890045971;0,378609625668449;0,787174193424193;0,807484407484407;10;10;30;30;19;20;8;8;13;12;2;3;19;19;"LAL";102;106;0,479798659833339;0,508843396746623;0,327075655437;0,336367456073338;0,762613997330128;0,74068523728782;12;13;26;27;21;22;7;7;13;14;3;4;26;26;1
"MIL";92;89;0,465679930552838;0,477536295363121;0,318150252525253;0,252222222222222;0,770431606437041;0,776738189346885;12;13;31;30;21;21;9;8;16;14;6;4;23;23;"OKC";90;88;0,480372448252856;0,46987796848662;0,307198498964803;0,349374741200828;0,672670998462719;0,60809376977798;10;11;32;32;18;16;5;4;16;16;3;3;22;21;1
"POR";102;105;0,490280452175138;0,507870008788984;0,367606560312345;0,391225806451613;0,787714029391661;0,798278195488722;12;12;34;36;23;24;5;5;13;13;5;5;21;21;"CHA";96;100;0,477676088373967;0,502737854251012;0,309052579365079;0,300198412698413;0,75032542489439;0,773317614696925;9;9;33;32;21;21;6;5;13;13;4;4;19;20;1
"TOR";107;107;0,492545659206546;0,499137762871795;0,336645007230278;0,388998311934745;0,800916473370015;0,836419737345404;9;7;30;30;18;19;8;8;11;12;4;3;21;20;"ORL";95;97;0,487805571840489;0,493365312090802;0,400692640692641;0,418380952380952;0,682017543859649;0,688847117794486;9;10;33;34;20;21;6;7;17;17;4;4;25;23;1
"MIN";99;99;0,45343722881694;0,445622931154527;0,37390289449113;0,343464052287582;0,758022301614768;0,777690849589868;12;12;31;32;20;21;8;8;13;12;4;4;21;21;"HOU";103;102;0,484822473538165;0,490114226059332;0,411006476992785;0,40055980350098;0,728061251613883;0,74604085972507;11;11;31;31;20;21;8;9;17;18;5;4;23;22;0
"GSW";105;102;0,545731963617614;0,542090960010938;0,388071200563909;0,375273647920707;0,79911103330221;0,761316526610644;8;8;35;36;24;24;8;7;19;19;6;6;22;20;"CHA";96;100;0,462120970201661;0,463863307493275;0,332168534080299;0,357352941176471;0,752140039163633;0,7630186577555;10;10;33;32;20;19;6;5;12;12;4;3;18;18;1
"LAC";103;104;0,513755117573274;0,527271346011976;0,352149244196392;0,385980335191256;0,795939747287217;0,794871561027512;7;6;29;32;23;24;7;7;12;13;5;6;21;19;"PHX";104;106;0,492609752612558;0,47410549178174;0,324964599113654;0,339688542825361;0,828020170980755;0,846574037656496;10;11;32;31;19;19;7;7;13;14;4;4;24;25;1
"SAC";102;101;0,477703182134083;0,483685309973046;0,293853463787674;0,289929149797571;0,807331361431643;0,79909930755519;11;11;34;34;17;17;7;6;15;13;4;3;25;25;"SAS";94;97;0,479352593818063;0,479887678755713;0,30262309534374;0,301898042206967;0,796168253592502;0,801724137931034;9;9;32;31;22;23;7;7;13;11;4;4;20;20;1
"TOR";106;106;0,491779582920793;0,500032324687132;0,33941124387946;0,390075884899414;0,786074793602844;0,792188606157751;10;9;29;32;18;18;8;8;11;13;4;4;22;21;"UTA";97;95;0,523045579876327;0,516733557857975;0,321016432330662;0,334030208921513;0,763090141087608;0,701904761904762;10;8;29;28;21;22;6;7;14;12;5;5;19;18;1
"BOS";107;107;0,551336802459666;0,558374419926733;0,313063568513484;0,334896331738437;0,791372642646602;0,788480418599633;11;8;31;31;26;27;7;6;14;12;4;2;22;20;"PHX";105;107;0,497069472072022;0,486916437055371;0,334383401791633;0,360886699507389;0,826609246346141;0,865074037656496;10;11;32;31;20;21;7;8;14;16;4;3;24;23;0
"LAC";101;100;0,512226771176244;0,520374794287838;0,346837975517566;0,359893378669517;0,758007048093687;0,709310063701309;7;6;29;32;22;22;7;6;12;13;5;6;21;20;"CHI";102;99;0,506939414475493;0,493807953200743;0,369319375749332;0,336204122674711;0,74200076209667;0,702630434782609;9;10;32;32;23;24;5;6;13;11;6;5;20;19;0
"BKN";101;98;0,506257563750093;0,493746683015707;0,337840238856146;0,270065987198009;0,796175025877154;0,792389803401467;9;9;32;31;19;19;7;7;14;14;4;3;22;23;"MIL";96;100;0,490651049200201;0,523383720105032;0,305499004492813;0,264157206742346;0,760780547284171;0,726516076516077;11;11;31;33;21;21;9;8;15;15;4;3;24;24;0
"CLE";105;110;0,477119393672849;0,502905833368381;0,381536826312906;0,435185453868048;0,796949039992518;0,775543101630058;10;10;30;32;21;25;6;6;12;12;4;5;17;16;"SAS";94;97;0,482194726945472;0,481006409163236;0,310974840246276;0,364712931995541;0,791150649043216;0,801873015873016;9;7;33;34;23;26;7;8;14;12;4;4;20;20;0
"DEN";102;105;0,482137975998486;0,501693934676721;0,329349807175055;0,361985895097992;0,738977913582019;0,713258741258741;12;11;31;30;20;22;6;8;13;12;4;3;24;21;"OKC";89;88;0,458879578935951;0,424490988028903;0,31908395570867;0,338100686498856;0,661661217694989;0,644045568466621;10;10;32;31;19;19;5;5;14;12;4;6;22;22;1
"IND";91;90;0,465296721103523;0,459809269239559;0,317690899905812;0,318710178710179;0,749926948051948;0,724;12;12;34;34;17;15;3;3;14;12;6;4;20;18;"CHA";93;91;0,45374704094072;0,419626411096669;0,344447804374275;0,419690603514133;0,713856015542343;0,68310412784097;9;9;32;30;20;18;5;4;12;9;4;3;18;16;1
"MIN";102;103;0,463661290765516;0,466790926588419;0,374337068160598;0,375210084033613;0,759272236254583;0,767168322712258;12;12;29;27;20;19;8;7;15;16;3;3;21;20;"NYK";95;103;0,478171021581707;0,511198232403345;0,430498129261318;0,48077950310559;0,776340824638038;0,81578111946533;10;9;27;26;21;19;6;7;13;12;3;3;24;23;1
"PHI";88;82;0,447202310553136;0,40609655402189;0,309213012998179;0,274777945366181;0,649256402359169;0,654220779220779;10;11;29;29;19;16;9;9;17;19;5;4;22;22;"BOS";106;107;0,551758677769255;0,566037255175775;0,311757211662135;0,32822966507177;0,774140140286704;0,737289942409157;11;8;31;33;27;29;8;7;14;13;4;3;21;20;0
"PHI";89;83;0,458420299825223;0,435667737555338;0,297938015538186;0,250737024650068;0,645656752667622;0,642099567099567;10;11;29;31;19;16;9;9;17;19;5;3;22;22;"PHX";105;106;0,506261581263739;0,511075861590736;0,335710686544947;0,351424333915991;0,82884430440763;0,858582178690874;9;10;32;32;20;23;7;8;14;13;4;3;24;24;0
"SAS";97;100;0,492070541342392;0,512977310046276;0,340055634054542;0,39775641025641;0,80074829588816;0,826620490620491;9;8;34;38;23;26;7;7;14;16;5;8;19;18;"BKN";100;93;0,496881400096233;0,475128338482236;0,337146868775714;0,280185034817057;0,819840406511438;0,836139803401467;9;11;32;30;19;20;6;6;14;14;4;4;21;19;1
"OKC";89;84;0,459051448214459;0,418443484910072;0,301637467496533;0,263394804145915;0,662458565407132;0,70504149262044;10;12;32;31;18;16;5;6;14;12;5;8;22;24;"GSW";106;109;0,53657375755409;0,524077750597034;0,377792530857715;0,357495180011804;0,792380230601012;0,753788883974642;8;11;35;36;25;29;8;7;17;12;6;6;21;20;0
"NOP";102;98;0,494336118630473;0,489736070381232;0,339002436332158;0,272484520123839;0,751594838122783;0,762687109161434;11;11;30;28;21;18;7;7;10;9;6;5;22;23;"SAC";103;101;0,487151417459203;0,508617604617605;0,330976630929638;0,339027639027639;0,805820521803482;0,808301404853129;11;10;34;33;19;21;6;5;14;12;3;3;23;19;0
"DET";92;90;0,444716771592;0,444006957621758;0,342536153028384;0,329835978835979;0,671198649303912;0,710861713106295;11;11;32;29;18;18;5;7;13;14;4;3;20;18;"LAC";103;106;0,521607706708765;0,538493390667304;0,377831901311984;0,433620967741935;0,762912599407925;0,771742591773552;7;5;30;32;23;23;7;7;11;10;4;3;21;22;0
"SAS";97;103;0,50050618064118;0,538582636922789;0,339575469717312;0,406089743589744;0,790350018595656;0,779877195601334;9;8;35;39;23;25;7;8;14;16;5;7;19;17;"IND";92;96;0,460142464402178;0,47017208257422;0,339521940076479;0,360552104899931;0,728089706589707;0,661777777777778;12;10;33;34;18;18;4;6;14;12;5;3;20;19;1
"TOR";107;113;0,487295610264092;0,474032401038598;0,363493423803807;0,415125699182494;0,800894700130982;0,821482683982684;10;11;30;32;19;21;8;7;11;12;4;4;22;23;"DAL";109;109;0,549081571521303;0,567061875131425;0,343724979870872;0,314231360037812;0,768789599762058;0,691592617908407;10;11;30;32;24;24;7;7;10;10;5;5;20;19;0
"ATL";103;105;0,5194071733945;0,544425351581985;0,364514710290499;0,344171355498721;0,782679195626766;0,807512340600576;9;9;30;32;24;25;8;7;13;12;5;5;19;19;"CHA";93;91;0,459886197300396;0,468005862727921;0,321290060955;0,259969488939741;0,719945878316474;0,758550724637681;9;8;32;30;21;23;5;5;11;9;4;4;18;17;1
"NYK";93;87;0,478586032383631;0,479665060468632;0,386244849304985;0,27118632141852;0,763269960651282;0,729285714285714;11;11;28;31;20;18;6;6;14;16;3;3;24;23;"MIA";96;93;0,496939423779705;0,498580962645672;0,386997545027436;0,381939799331104;0,7460841820542;0,77572156196944;8;7;28;28;20;16;8;7;13;13;3;3;20;18;0
"POR";104;103;0,488898395329993;0,483725865509169;0,382422020514216;0,344295081137186;0,785840223699104;0,768995169082126;12;13;35;37;24;24;6;6;13;12;5;6;19;17;"MIN";100;98;0,462554195566295;0,460340005167853;0,359737843855491;0,330539395245278;0,740522944589607;0,703024361259655;12;11;28;25;21;23;8;10;14;14;3;4;21;21;1
"UTA";95;93;0,505215875033495;0,491126806916281;0,327832611748497;0,320039682539683;0,738212303708638;0,713988655023138;10;11;30;30;20;17;6;6;14;15;4;4;18;18;"DEN";105;110;0,488786411393856;0,490825423956236;0,346973982919731;0,363475299475299;0,743190474836511;0,741096204563697;12;14;32;34;21;20;7;7;13;15;5;4;24;24;0
"WAS";98;98;0,487016087813114;0,477444019735415;0,375448775081128;0,444408457040036;0,72842388091173;0,736494252873563;10;12;31;30;24;25;8;6;14;15;4;5;23;23;"MIA";95;92;0,504178281204428;0,505507791913965;0,369580577138122;0,353967771359076;0,737490994874541;0,721528013582343;7;7;28;28;20;16;8;6;13;13;3;3;20;19;1
