"HOME";"All points";"Two points";"Thre points";"Free throws";"Attack jumps";"Defending jumps";"Assissts";"Stolen balls";"Lost balls";"Blockages fouls";"Personal fouls";"AWAY";"All points";"Two points";"Thre points";"Free throws";"Attack jumps";"Defending jumps";"Assissts";"Stolen balls";"Lost balls";"Blockages fouls";"Personal fouls";"WINNER"
"NOP";0;0;0;0;0;0;0;0;0;0;0;"ORL";0;0;0;0;0;0;0;0;0;0;0;1
"MIA";0;0;0;0;0;0;0;0;0;0;0;"WAS";0;0;0;0;0;0;0;0;0;0;0;1
"PHX";0;0;0;0;0;0;0;0;0;0;0;"LAL";94;0,407186817550129;0,303846153846154;0,817435897435897;11;25;18;8;12;3;25;1
"LAC";0;0;0;0;0;0;0;0;0;0;0;"OKC";89;0,488461538461539;0,205357142857143;0,815610859728507;11;34;21;7;17;3;27;1
"IND";96;0,513140161725067;0,35047619047619;0,745535714285714;12;35;20;5;17;8;19;"MEM";101;0,524378109452736;0,317543859649123;0,74537037037037;10;26;20;10;13;3;21;0
"LAL";100;0,459629921377505;0,319230769230769;0,783052503052503;10;27;20;7;12;2;28;"LAC";105;0,526315789473684;0,298484848484848;0,791818181818182;10;24;21;8;12;3;26;0
"MIL";99;0,453361742424242;0,4375;0,723214285714286;9;36;25;9;16;10;22;"PHI";86;0,420168067226891;0,251552795031056;0,556060606060606;13;28;18;9;13;5;23;1
"SAC";90;0,386267605633803;0,283333333333333;0,814285714285714;14;35;13;8;18;2;25;"POR";100;0,460677555958863;0,362732095490716;0,833732057416268;11;28;21;4;10;8;22;1
"NYK";90;0,485208118335053;0,392156862745098;0,76797385620915;10;25;24;7;12;2;24;"CHA";90;0,435906478578892;0,323809523809524;0,712005108556833;9;34;21;8;14;5;17;1
"POR";96;0,460964524485396;0,328241150080231;0,77010708589656;13;32;21;6;13;6;21;"GSW";105;0,54323476702509;0,338757521823883;0,795138888888889;8;34;24;11;19;6;24;0
"DAL";111;0,571751644736842;0,39047619047619;0,75091533180778;10;29;22;6;12;5;19;"BOS";108;0,531078681860083;0,252825024437928;0,745169082125604;15;27;25;10;13;6;24;1
"PHI";90;0,474944173473585;0,326863354037267;0,634635654200872;9;28;21;10;17;6;22;"HOU";105;0,454563140111921;0,438960258432875;0,723571428571429;11;33;21;8;17;5;24;0
"NOP";96;0,452592165898618;0,262039903680771;0,72226084538376;16;35;21;7;11;7;21;"CHA";90;0,458285791137559;0,314285714285714;0,745542292956086;8;33;21;7;13;4;16;1
"PHI";90;0,476109184932714;0,325490683229814;0,638143305969393;8;29;21;10;17;7;21;"ORL";91;0,479492442281643;0,338441558441558;0,683333333333333;11;34;19;5;17;5;25;0
