"HOME";"All points";"All points for last 5 games";"Two points";"Two points for last 5 games";"Thre points";"Thre points for last 5 games";"Free throws";"Free points for last 5 games";"Attack jumps";"Attack jumps for last 5 games";"Defending jumps";"Defending jumps for last 5 games";"Assissts";"Assissts for last 5 games";"Stolen balls";"Stolen balls for last 5 games";"Lost balls";"Lost balls for last 5 games";"Blockages fouls";"Blockages fouls for last 5 games";"Personal fouls";"Personal fouls for last 5 games";"AWAY";"All points";"All points for last 5 games";"Two points";"Two points for last 5 games";"Thre points";"Thre points for last 5 games";"Free throws";"Free points for last 5 games";"Attack jumps";"Attack jumps for last 5 games";"Defending jumps";"Defending jumps for last 5 games";"Assissts";"Assissts for last 5 games";"Stolen balls";"Stolen balls for last 5 games";"Lost balls";"Lost balls for last 5 games";"Blockages fouls";"Blockages fouls for last 5 games";"Personal fouls";"Personal fouls for last 5 games";"WINNER"
"LAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"HOU";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18
"NOP";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"ORL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17
"PHX";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"LAL";94;0;0,407186817550129;0;0,303846153846154;0;0,817435897435897;0;11;0;25;0;18;0;8;0;12;0;3;0;25;0;20
"DAL";110;0;0,567845394736842;0;0,380952380952381;0;0,812356979405034;0;11;0;27;0;21;0;8;0;9;0;4;0;17;0;"UTA";97;0;0,506944444444444;0;0,283333333333333;0;0,856209150326797;0;14;0;23;0;19;0;7;0;14;0;3;0;18;0;18
"ORL";91;0;0,463710646479212;0;0,381818181818182;0;0,755952380952381;0;9;0;35;0;18;0;4;0;18;0;5;0;24;0;"WAS";100;0;0,506663113006397;0;0,427125506072874;0;0,738782051282051;0;6;0;30;0;21;0;8;0;13;0;1;0;22;0;-7
"NOP";102;0;0,441666666666667;0;0,301857585139319;0;0,616935483870968;0;20;0;34;0;22;0;9;0;11;0;10;0;18;0;"DAL";109;0;0,586896929824561;0;0,333968253968254;0;0,734553775743707;0;11;0;29;0;22;0;7;0;10;0;4;0;20;0;-5
"PHI";89;0;0,492233256939139;0;0,269151138716356;0;0,614296814296814;0;10;0;30;0;21;0;9;0;17;0;6;0;22;0;"MIA";110;0;0,528781579788935;0;0,410714285714286;0;0,779610194902549;0;10;0;29;0;26;0;12;0;15;0;1;0;18;0;-18
"WAS";102;0;0,537775408670931;0;0,387314439946019;0;0,73494560994561;0;6;0;29;0;23;0;11;0;15;0;2;0;22;0;"MIL";98;0;0,445919322535702;0;0,428030303030303;0;0,759920634920635;0;11;0;32;0;22;0;10;0;19;0;8;0;24;0;11
"NYK";88;0;0,447239422084623;0;0,427450980392157;0;0,773348813209494;0;11;0;26;0;22;0;7;0;14;0;2;0;24;0;"WAS";101;0;0,528331556503198;0;0,401596941070625;0;0,709103944301313;0;7;0;29;0;24;0;10;0;14;0;2;0;22;0;-15
"POR";97;0;0,490723393364047;0;0,326180862560173;0;0,76758031442242;0;12;0;33;0;21;0;6;0;12;0;5;0;21;0;"CLE";95;0;0,423572097378277;0;0,33452380952381;0;0,838167388167388;0;14;0;27;0;19;0;6;0;14;0;3;0;17;0;19
"DET";89;0;0,431860088607331;0;0,275296740769887;0;0,65139684876527;0;12;0;34;0;18;0;3;0;10;0;4;0;20;0;"NYK";89;89;0,443505823381984;0,443505823381984;0,431960784313726;0,431960784313725;0,778679050567595;0,778679050567596;11;11;27;27;22;22;6;6;13;13;3;3;24;24;3
"SAC";103;103;0,471721054295119;0,471721054295119;0,297777777777778;0,297777777777778;0,815563415308096;0,815563415308096;12;12;34;34;18;18;7;7;16;16;4;4;26;26;"DEN";98;0;0,469938755576674;0;0,262248168498169;0;0,782282502443793;0;11;0;29;0;20;0;4;0;15;0;6;0;29;0;22
"BOS";106;106;0,537480100362734;0,537480100362734;0,2952847582525;0,2952847582525;0,810990338164251;0,810990338164251;14;14;30;30;25;25;8;8;15;15;5;5;23;23;"IND";92;90;0,468802698972823;0,45542038162453;0,314234428664253;0,313081314397104;0,789853896103896;0,81211038961039;13;13;34;34;20;19;4;3;16;16;7;6;21;20;3
"CHA";96;94;0,475754123916267;0,483404948699521;0,303439153439153;0,306984126984127;0,741174640599928;0,751478534237155;9;8;34;34;23;22;6;6;14;15;5;4;20;20;"ATL";103;0;0,496176751709433;0;0,413712121212121;0;0,695872754696284;0;7;0;31;0;26;0;9;0;15;0;5;0;25;0;3
"ORL";95;97;0,483939175152398;0,504014681415754;0,365367965367965;0,365714285714286;0,701023391812865;0,688847117794486;11;10;35;34;19;19;5;5;17;17;5;4;25;25;"MIN";100;100;0,460531654942614;0,460531654942614;0,373464052287582;0,373464052287582;0,751376149796907;0,751376149796907;12;12;31;31;22;22;8;8;13;13;4;4;22;22;9
"CHI";104;103;0,509536178955168;0,495031140980798;0,40370528061622;0,42298309178744;0,749836601307189;0,73016339869281;9;9;32;31;22;22;5;5;14;13;6;5;20;19;"BOS";106;103;0,541986105140988;0,526140901926761;0,307474140649013;0,296241696051543;0,800825281803543;0,830555555555555;13;13;31;32;25;24;7;7;15;15;4;4;22;21;-5
"HOU";101;100;0,483825215659542;0,486991665559722;0,40339515737951;0,378290895937955;0,726806843949701;0,738672438672439;11;11;32;33;20;20;9;10;18;19;4;5;22;21;"GSW";107;107;0,541921489755005;0,541921489755005;0,387540227380044;0,387540227380044;0,806495098039216;0,806495098039216;9;9;35;35;24;24;10;10;21;21;6;6;23;23;-11
"LAC";103;105;0,501246139670349;0,506758525499155;0,351193767601459;0,374765854455085;0,792215148685737;0,806658178422884;8;7;26;27;22;23;8;8;10;10;4;4;21;20;"POR";100;99;0,505227587839087;0,509721381268974;0,350787241706782;0,345082621082621;0,785404420141262;0,78793984962406;11;11;35;36;22;22;5;5;13;14;5;4;21;22;4
"MIL";93;91;0,467270569982465;0,472834101005754;0,33502886002886;0,294040404040404;0,785255169261381;0,810071522680218;12;13;30;28;22;21;9;10;16;16;6;4;23;24;"MEM";93;89;0,44747050202021;0,4167074590472;0,348175250961629;0,360427807486631;0,784243034243034;0,7997920997921;10;10;30;32;19;19;9;8;13;13;2;2;20;19;1
"TOR";107;107;0,496582794195237;0,511042524776557;0,323512661324399;0,353284026220459;0,796285493375255;0,79282999375566;10;8;29;27;19;18;8;8;10;12;5;4;22;22;"PHI";93;96;0,474672130017999;0,496473755134442;0,331653009029699;0,363693094629156;0,648197599501947;0,685052396878484;10;8;27;27;22;23;10;10;16;18;6;6;22;22;32
"CHI";104;102;0,504667685997536;0,484800961952665;0,396992120539193;0,414722222222222;0,762357026143791;0,74516339869281;9;9;33;32;22;24;5;5;13;12;6;5;20;18;"DET";91;94;0,437871813155951;0,438242213295179;0,334331056837451;0,355242966751918;0,643893437389678;0,662584415584416;12;13;33;33;18;18;4;5;12;11;4;4;21;19;11
"LAC";100;98;0,506562625211947;0,498661359507252;0,333490761840212;0,347493127182357;0,796688614839875;0,798636788048553;8;7;27;28;23;24;8;8;11;10;4;5;21;19;"SAS";92;90;0,483184991764001;0,470298180592992;0,26619309712189;0,219431716546268;0,782215343351716;0,776158412022059;10;11;33;33;20;19;7;7;15;14;4;4;19;19;-4
"MEM";94;97;0,460566540013953;0,45179290140065;0,350107890045971;0,378609625668449;0,787174193424193;0,807484407484407;10;10;30;30;19;20;8;8;13;12;2;3;19;19;"LAL";102;106;0,479798659833339;0,508843396746623;0,327075655437;0,336367456073338;0,762613997330128;0,74068523728782;12;13;26;27;21;22;7;7;13;14;3;4;26;26;5
"TOR";107;107;0,492545659206546;0,499137762871795;0,336645007230278;0,388998311934745;0,800916473370015;0,836419737345404;9;7;30;30;18;19;8;8;11;12;4;3;21;20;"ORL";95;97;0,487805571840489;0,493365312090802;0,400692640692641;0,418380952380952;0,682017543859649;0,688847117794486;9;10;33;34;20;21;6;7;17;17;4;4;25;23;4
"NOP";100;100;0,476723455755714;0,490746171391333;0,327801295956979;0,338178780284043;0,74389962139843;0,794685276409414;13;10;32;31;23;24;7;6;10;10;8;7;21;22;"LAL";102;104;0,475379382909727;0,48482905982906;0,327857865174042;0,333034122740005;0,764943497663862;0,754078094430677;12;13;26;26;20;20;7;8;13;13;4;4;24;22;7
"PHX";104;106;0,503252656059366;0,489980647210514;0,325889656938044;0,354039938556068;0,810258132980602;0,82273779909375;9;9;32;32;19;19;7;8;14;16;4;4;23;24;"BKN";104;105;0,512952260558334;0,498461033634126;0,399212017142713;0,431366459627329;0,796746609663052;0,79236833045135;9;9;32;32;19;20;7;8;14;15;4;4;22;22;8
"GSW";104;104;0,544276327922275;0,544901264460587;0,383695485249783;0,410658263305322;0,8007856267507;0,804173669467787;7;7;34;35;24;24;9;7;20;20;6;6;21;19;"BKN";103;101;0,51047706360498;0,488894449308952;0,372748014999874;0,373214285714286;0,809653283455171;0,793420962030297;9;8;32;32;19;18;7;7;14;15;4;4;22;22;8
"ATL";102;105;0,496642382252214;0,497686410235995;0,409645863395863;0,403251563251563;0,759232961199074;0,811920688007645;8;8;31;31;25;24;9;8;14;14;4;4;20;19;"MIA";99;94;0,50815597166941;0,507515943176321;0,389880932272237;0,376785678090026;0,730993458135781;0,730649799704828;8;5;28;29;23;24;8;8;13;11;3;3;21;21;11
"OKC";92;93;0,479355429866652;0,451364251539239;0,320758799171843;0,372666666666667;0,641167101800478;0,578344852029062;10;10;32;32;19;18;5;4;15;13;4;4;21;19;"DET";93;96;0,446905039688865;0,458941000554092;0,344916335181165;0,400612010710187;0,658381764434396;0,663969696969697;12;12;34;34;18;18;5;6;12;14;4;4;21;21;-7
"ORL";96;101;0,481439038753179;0,483385635224716;0,412220779220779;0,486;0,701516812865497;0,719700292397661;9;7;33;33;20;22;6;6;16;15;4;3;23;21;"MIL";91;88;0,475868499289226;0,492237511650799;0,29449613089964;0,206608187134503;0,772129681912291;0,762452475061171;11;12;31;31;21;21;9;8;16;15;5;4;23;23;16
"DET";93;94;0,438701525979201;0,433941000554092;0,358835975870836;0,421375667343409;0,660333743093383;0,679283422459893;11;9;33;35;18;17;5;5;12;13;4;5;21;20;"ORL";97;99;0,486207962751064;0,482838767086343;0,419497708174179;0,461686274509804;0,706819566276803;0,730138888888889;9;7;33;33;21;23;6;6;15;13;3;2;23;20;-14
