"HOME";"All points";"Two points";"Thre points";"Free throws";"Attack jumps";"Defending jumps";"Assissts";"Stolen balls";"Lost balls";"Blockages fouls";"Personal fouls";"AWAY";"All points";"Two points";"Thre points";"Free throws";"Attack jumps";"Defending jumps";"Assissts";"Stolen balls";"Lost balls";"Blockages fouls";"Personal fouls";"WINNER"
"SAS";0;0;0;0;0;0;0;0;0;0;0;"DAL";0;0;0;0;0;0;0;0;0;0;0;1
"CHA";0;0;0;0;0;0;0;0;0;0;0;"MIL";0;0;0;0;0;0;0;0;0;0;0;2
"IND";0;0;0;0;0;0;0;0;0;0;0;"PHI";0;0;0;0;0;0;0;0;0;0;0;12
"SAC";0;0;0;0;0;0;0;0;0;0;0;"GSW";0;0;0;0;0;0;0;0;0;0;0;-18
"CLE";0;0;0;0;0;0;0;0;0;0;0;"NYK";87;0,47781217750258;0,338235294117647;0,857843137254902;11;25;24;9;13;3;24;-5
"DAL";110;0,567845394736842;0,380952380952381;0,812356979405034;11;27;21;8;9;4;17;"UTA";97;0,506944444444444;0,283333333333333;0,856209150326797;14;23;19;7;14;3;18;18
"LAC";0;0;0;0;0;0;0;0;0;0;0;"OKC";89;0,488461538461539;0,205357142857143;0,815610859728507;11;34;21;7;17;3;27;3
"IND";96;0,513140161725067;0,35047619047619;0,745535714285714;12;35;20;5;17;8;19;"MEM";101;0,524378109452736;0,317543859649123;0,74537037037037;10;26;20;10;13;3;21;-8
"PHX";106;0,529130434782609;0,305555555555556;0,784188034188034;10;34;19;3;10;4;23;"SAS";95;0,500224618149147;0,41;0,775815217391304;7;34;21;4;16;3;22;5
"DEN";95;0,453745501262726;0,242521367521368;0,763473444118605;13;31;19;5;15;7;27;"SAC";97;0,437865603583185;0,272222222222222;0,82445426913512;13;35;17;7;17;5;25;-5
"CHI";104;0,520000836220909;0,392248129967274;0,787704248366013;9;33;21;5;15;8;22;"ORL";91;0,467012611675583;0,385551948051948;0,645833333333333;10;33;20;4;15;5;26;8
"MIA";104;0,508956007285772;0,40625;0,731423031174471;11;27;22;9;15;2;21;"HOU";105;0,479779544347601;0,443060098638192;0,734412698412698;10;32;21;8;17;5;24;-17
"NOP";96;0,452592165898618;0,262039903680771;0,72226084538376;16;35;21;7;11;7;21;"CHA";90;0,458285791137559;0,314285714285714;0,745542292956086;8;33;21;7;13;4;16;9
"TOR";104;0,481169114823349;0,251558253574383;0,768429487179487;13;28;18;7;9;5;23;"OKC";90;0,507346608194066;0,268850931677019;0,703989351571894;9;33;20;5;16;3;23;12
"UTA";103;0,533966717869944;0,307920227920228;0,81899881164587;12;29;21;6;14;4;19;"CLE";96;0,424821930176565;0,344642857142857;0,841125541125541;12;26;16;6;13;3;18;2
"CHI";104;0,509536178955168;0,40370528061622;0,749836601307189;9;32;22;5;14;6;20;"BOS";106;0,541986105140988;0,307474140649013;0,800825281803543;13;31;25;7;15;4;22;-5
"HOU";101;0,483825215659542;0,40339515737951;0,726806843949701;11;32;20;9;18;4;22;"GSW";107;0,541921489755005;0,387540227380044;0,806495098039216;9;35;24;10;21;6;23;-11
"BKN";104;0,516683297695415;0,394318781904594;0,799329377940227;9;33;20;7;14;4;22;"ORL";95;0,488614531083008;0,389363017934447;0,69016290726817;10;34;20;5;17;4;25;8
"DAL";105;0,528860501170006;0,352091556262685;0,795591073958187;10;28;21;7;10;5;18;"MIA";102;0,526434137878639;0,368962559179951;0,744928096968226;9;29;23;8;13;2;22;-9
"CLE";102;0,459444128314431;0,353487079211717;0,820851370851371;11;29;19;5;11;3;16;"NOP";99;0,458293767164735;0,312259406686651;0,766031039779649;14;31;22;7;10;7;20;7
"LAC";100;0,506562625211947;0,333490761840212;0,796688614839875;8;27;23;8;11;4;21;"SAS";92;0,483184991764001;0,26619309712189;0,782215343351716;10;33;20;7;15;4;19;-4
"DAL";105;0,528790674372812;0,354376408026146;0,800308856380081;10;27;21;7;10;5;20;"SAC";103;0,476035227667603;0,300009137426901;0,798379888064064;11;35;18;7;16;3;26;8
"GSW";104;0,544276327922275;0,383695485249783;0,8007856267507;7;34;24;9;20;6;21;"BKN";103;0,51047706360498;0,372748014999874;0,809653283455171;9;32;19;7;14;4;22;8
"HOU";101;0,486508865367257;0,388214907653718;0,716234626059187;11;32;20;9;18;5;23;"PHI";90;0,455592447641118;0,323795961755609;0,635466819814646;11;28;20;9;18;5;23;1
"NOP";105;0,49721114878625;0,380576133962357;0,744662168723626;12;32;24;7;11;7;22;"MIN";98;0,452792057973443;0,353950746965453;0,754732928547068;12;30;19;7;14;4;20;48
